global_step,return_value
4338448,22.0
4348592,19.0
4359424,23.0
4369752,5.0
4382032,19.0
4393512,22.0
4403720,30.0
4414104,70.0
4424272,18.0
4435512,28.0
4446392,16.0
4457328,48.0
4467408,17.0
4477560,55.0
4488144,36.0
4499056,43.0
4509728,40.0
4520712,48.0
4530720,35.0
4541504,49.0
4552912,31.0
4563240,21.0
4574096,67.0
4584648,37.0
4596568,35.0
4607992,27.0
4618008,36.0
4629000,21.0
4639680,19.0
4649752,29.0
4660320,22.0
4670360,37.0
4682656,13.0
4692720,41.0
4704736,31.0
4715960,23.0
4726576,15.0
4736936,40.0
4747112,41.0
4757424,42.0
4768624,28.0
4779544,21.0
4790264,33.0
4800424,36.0
4810480,20.0
4820928,15.0
4831272,18.0
4844632,43.0
4854824,13.0
4865496,31.0
4875752,38.0
4887344,34.0
4897808,35.0
4909512,30.0
4919680,53.0
4931664,38.0
4943632,44.0
4953800,34.0
4964864,10.0
4976496,49.0
4986776,26.0
4997944,22.0
5008080,16.0
5019320,33.0
5030616,26.0
5041712,43.0
5052624,33.0
5063752,25.0
5074200,23.0
5085504,41.0
5095912,42.0
5106992,30.0
5117368,79.0
5127600,34.0
5138328,68.0
5149304,33.0
5159648,24.0
5170744,15.0
5182800,45.0
5193328,17.0
5203840,8.0
5214152,29.0
5224824,22.0
5236568,31.0
5247552,32.0
5258072,40.0
5269136,23.0
5281600,48.0
5291840,26.0
5302088,57.0
5312912,21.0
5324128,25.0
5334320,48.0
5345448,35.0
5355520,27.0
5365664,27.0
5376112,25.0
5386296,21.0
5397456,40.0
5407576,36.0
5418048,57.0
5429520,44.0
5441584,257.0
5452776,54.0
5465208,41.0
5476824,64.0
5487368,18.0
5498232,38.0
5510600,67.0
5521304,27.0
5531432,39.0
5541528,37.0
5552416,15.0
5563408,49.0
5573648,25.0
5584792,25.0
5595768,26.0
5606040,33.0
5616280,43.0
5629424,50.0
5640136,58.0
5651000,37.0
5662264,41.0
5674256,29.0
5685040,31.0
5695088,49.0
5707432,32.0
5718216,62.0
5728624,54.0
5739376,37.0
5750192,37.0
5760664,29.0
5771040,28.0
5781104,64.0
5791800,32.0
5802192,28.0
5813328,49.0
5825424,27.0
5837168,29.0
5847984,39.0
5858568,47.0
5868816,18.0
5879056,59.0
5889296,68.0
5899808,52.0
5910688,16.0
5920784,52.0
5931024,52.0
5941088,51.0
5951104,19.0
5961248,41.0
5971320,46.0
5982016,53.0
5994984,22.0
